KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19
157,20,0.046875,524288,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
158,20,0.015625,136449,false,false,true,false,false,false,false,true,false,false,false,false,true,true,true,true,true,true,true,false
159,20,0.03125,524256,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
160,20,0.03125,385241,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false
161,20,0.0,1511,true,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false
162,20,0.03125,523052,true,true,true,false,true,true,true,false,true,true,true,true,true,false,true,true,true,false,true,true
163,20,0.03125,494244,true,true,true,true,true,false,false,true,true,false,true,true,true,true,false,true,true,true,true,false
164,20,0.0,1061,false,false,false,true,false,true,false,false,false,true,false,false,true,true,false,true,false,false,false,false
165,20,0.0,2680,false,false,true,false,false,false,false,false,true,true,true,false,true,false,false,false,false,true,true,false
166,20,0.0,64437,false,false,true,false,false,true,false,true,false,true,false,false,true,true,true,false,true,false,true,false
167,20,0.015625,131697,false,true,false,false,true,false,true,false,false,true,true,true,true,false,false,false,false,false,true,true
168,20,0.03125,515192,true,true,false,true,true,true,true,false,true,true,false,true,true,true,true,true,true,false,true,true
169,20,0.0,579,false,false,true,false,false,false,true,false,true,false,false,false,false,true,true,false,false,false,false,false
170,20,0.015625,73605,false,true,true,false,true,true,true,true,false,true,false,true,false,true,true,false,false,false,true,false
171,20,0.046875,524288,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
172,20,0.046875,519036,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false
