KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19,Item_20,Item_21
197,22,0.15625,1634664,false,false,true,false,true,true,true,true,false,false,true,true,false,true,true,true,false,false,false,true,true,true
198,22,0.25,2092348,true,true,true,true,true,true,false,true,false,true,true,true,true,true,false,true,true,true,true,true,true,true
199,22,0.171875,1413924,true,true,true,true,false,false,true,true,true,true,true,true,false,false,true,true,false,true,false,true,true,false
200,22,0.234375,2097152,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
201,22,0.1875,2097152,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
202,22,0.0,10,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false
203,22,0.171875,2097152,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
204,22,0.15625,1833660,true,true,true,false,true,false,false,false,true,true,true,true,true,true,true,false,true,true,false,true,false,false
205,22,0.25,2096502,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
206,22,0.0,6421,true,false,false,false,false,false,false,false,true,true,true,false,false,true,false,false,false,false,false,false,true,true
207,22,0.203125,2096827,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
208,22,0.1875,1353638,true,true,true,true,true,true,false,true,true,true,false,true,false,true,false,true,false,false,false,true,false,true
209,22,0.3125,2091142,false,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true
210,22,0.09375,580192,true,false,true,false,false,false,true,true,true,false,true,true,false,false,false,true,true,true,true,true,false,false
211,22,0.1875,2097147,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
212,22,0.1875,2096844,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
213,22,0.03125,650566,false,false,true,true,true,false,false,true,false,false,false,false,true,false,false,true,false,true,true,true,true,true
214,22,0.15625,2024874,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,false,false,false
215,22,0.140625,1779122,false,true,true,true,false,true,false,false,true,false,true,true,true,true,true,true,true,true,false,true,false,true
216,22,0.0,377,false,true,false,false,true,false,false,false,true,false,true,false,true,false,false,false,false,false,false,false,true,false
217,22,0.0625,609537,false,true,false,true,true,true,true,true,true,false,false,false,true,false,true,true,true,false,true,true,false,false
218,22,0.015625,149717,true,true,false,false,false,false,true,true,false,false,false,true,false,true,false,true,true,false,true,true,false,false
219,22,0.171875,1905609,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,false,false,true,false,true,false,true
220,22,0.015625,74720,false,false,true,true,false,true,true,true,true,true,false,true,false,false,false,false,true,false,true,false,true,false
221,22,0.0625,508006,false,true,false,true,false,false,true,true,true,true,false,false,true,false,false,true,false,true,true,false,false,false
222,22,0.0,4300,true,false,false,true,true,false,false,false,false,false,true,true,false,true,true,false,false,true,false,false,true,true
223,22,0.15625,2088015,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true
224,22,0.171875,2089726,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true,true
225,22,0.078125,1184103,true,false,false,true,true,false,false,false,false,true,true,false,false,true,false,true,true,false,true,true,true,true
226,22,0.15625,2097152,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true
227,22,0.171875,2080140,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,true,true,true,true,true,false,false
228,22,0.0,88223,true,false,true,false,true,true,true,true,false,true,true,false,false,false,false,false,false,true,false,false,true,false
229,22,0.046875,770613,false,true,true,false,true,true,true,false,true,true,false,true,false,false,true,true,false,true,true,true,true,true
230,22,0.015625,35,false,false,false,true,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
231,22,0.21875,2097122,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true
232,22,0.125,1593199,true,false,true,false,true,true,true,false,true,true,false,false,true,false,true,false,true,false,true,true,true,true
233,22,0.046875,330256,true,false,false,false,false,true,true,true,false,false,false,true,true,true,false,true,false,false,true,false,false,true
234,22,0.140625,2097152,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
235,22,0.078125,821607,true,false,true,false,true,true,true,false,true,true,true,false,true,true,true,false,false,true,false,false,false,true
236,22,0.203125,2097152,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true
