KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14
248,15,0.0,16379,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
249,15,0.0,16331,true,true,true,true,true,true,false,true,true,true,false,true,false,true,true
250,15,0.015625,16237,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true
251,15,0.0,16383,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true
252,15,0.0,8586,false,true,false,true,true,false,true,true,false,true,false,false,true,true,false
253,15,0.0,16168,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true
254,15,0.0,817,false,true,true,true,false,false,true,false,false,true,true,false,false,true,false
255,15,0.0,11143,true,false,true,true,true,false,true,true,false,true,false,true,true,false,true
256,15,0.0,14968,true,true,true,true,true,false,false,true,true,true,false,true,true,true,true
257,15,0.0,8872,false,true,true,true,true,false,true,true,true,true,true,false,true,true,false
258,15,0.0,16384,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true
259,15,0.0,1326,false,false,false,true,false,true,true,true,false,false,true,true,false,false,true
260,15,0.0,215,false,false,false,false,true,false,false,true,false,false,true,false,false,false,true
261,15,0.0,16294,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true
262,15,0.0,5,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true
263,15,0.0,9946,false,true,true,true,true,true,true,true,false,false,true,true,false,false,true
264,15,0.0,593,true,true,false,false,true,false,false,false,true,true,false,false,false,false,false
265,15,0.0,7223,true,false,false,true,false,true,true,true,false,true,false,true,false,true,false
266,15,0.015625,16384,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true
267,15,0.0,451,true,false,false,true,false,false,true,false,true,false,true,false,false,false,true
268,15,0.0,439,true,false,true,false,false,true,false,false,false,false,true,false,false,false,true
269,15,0.0,13842,true,true,true,true,true,true,true,true,false,false,false,false,true,false,true
270,15,0.0,16384,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
271,15,0.0,16383,true,true,true,true,true,true,true,true,false,true,true,false,true,true,true
272,15,0.0,16364,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true
273,15,0.0,16340,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true
274,15,0.0,21,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false
275,15,0.015625,8321,true,true,false,true,true,true,true,false,true,false,false,false,false,true,false
276,15,0.0,16370,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true
277,15,0.015625,16380,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true
278,15,0.0,14621,true,false,true,true,true,true,false,true,true,false,true,true,true,false,true
279,15,0.0,950,true,true,false,false,false,false,false,false,true,true,true,true,false,false,true
280,15,0.0,16281,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true
281,15,0.0,16384,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true
282,15,0.0,11038,true,true,false,true,false,true,true,false,true,false,true,true,true,true,false
283,15,0.0,7182,true,false,false,true,false,true,true,true,true,false,true,false,false,true,true
284,15,0.0,14153,true,true,true,true,true,false,true,true,false,true,false,true,true,false,false
285,15,0.0,397,false,false,false,true,true,false,false,false,false,false,true,false,true,true,false
286,15,0.0,16378,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
287,15,0.0,10282,true,true,false,true,true,true,true,true,true,true,false,true,true,false,true
288,15,0.0,16323,true,true,true,true,true,true,true,true,false,false,true,true,true,true,true
289,15,0.0,15858,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true
290,15,0.0,16322,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true
291,15,0.0,8,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false
292,15,0.0,16267,true,true,true,true,false,true,true,true,true,false,true,true,false,true,true
293,15,0.0,14421,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true
294,15,0.0,16036,true,false,true,true,true,true,true,true,true,false,true,true,true,true,false
295,15,0.0,16333,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true
296,15,0.0,299,false,false,false,true,false,true,true,false,false,false,false,false,false,false,true
297,15,0.0,344,true,true,false,true,true,false,false,false,true,true,false,true,false,false,true
298,15,0.0,16384,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true
299,15,0.0,16384,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true
300,15,0.0,413,true,false,true,false,true,true,false,true,false,false,false,false,false,true,false
301,15,0.0,2084,true,true,false,true,false,false,false,false,false,false,false,true,false,true,false
302,15,0.0,23,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false
303,15,0.0,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
304,15,0.0,8446,true,true,true,true,true,true,true,false,true,false,false,false,true,false,true
305,15,0.0,16375,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true
306,15,0.0,16384,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true
307,15,0.0,123,false,true,true,false,false,false,false,true,true,true,false,false,false,true,true
308,15,0.015625,16384,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true
309,15,0.0,11756,true,false,true,true,true,false,false,false,true,false,true,true,false,true,true
